filename, language, JavaScript, Markdown, JSON, XML, HTML, TypeScript React, CSS, TypeScript, SCSS, comment, blank, total
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\.idea\misc.xml, XML, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\.idea\modules.xml, XML, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\.idea\tms-frontend.iml, XML, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\.idea\vcs.xml, XML, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\README.md, Markdown, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 20, 45
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\jest.config.js, JavaScript, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\package-lock.json, JSON, 0, 0, 17552, 0, 0, 0, 0, 0, 0, 0, 1, 17553
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\package.json, JSON, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 1, 57
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\public\index.html, HTML, 0, 0, 0, 0, 20, 0, 0, 0, 0, 23, 1, 44
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\public\manifest.json, JSON, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\App.tsx, TypeScript React, 0, 0, 0, 0, 0, 67, 0, 0, 0, 5, 9, 81
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\assets\images\downArrow.svg, XML, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\assets\images\leftArrow.svg, XML, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\assets\images\rightArrow.svg, XML, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\assets\images\upArrow.svg, XML, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\components\BlogItem.tsx, TypeScript React, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 4, 20
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\components\Footer.tsx, TypeScript React, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\components\FormInput.tsx, TypeScript React, 0, 0, 0, 0, 0, 94, 0, 0, 0, 12, 8, 114
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\components\Header.tsx, TypeScript React, 0, 0, 0, 0, 0, 122, 0, 0, 0, 1, 6, 129
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\contexts\UserContext.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\index.css, CSS, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\index.tsx, TypeScript React, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 3, 18
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\logo.svg, XML, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\pages\About.tsx, TypeScript React, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\pages\AgreementDocs.tsx, TypeScript React, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\pages\Blog.tsx, TypeScript React, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\pages\Calendar.tsx, TypeScript React, 0, 0, 0, 0, 0, 163, 0, 0, 0, 2, 16, 181
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\pages\Contact.tsx, TypeScript React, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 9, 98
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\pages\CreateAccount.tsx, TypeScript React, 0, 0, 0, 0, 0, 279, 0, 0, 0, 4, 16, 299
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\pages\Dashboard.tsx, TypeScript React, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\pages\ForgotPassword.tsx, TypeScript React, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 11, 67
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\pages\Landing.tsx, TypeScript React, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 2, 26
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\pages\Lesson.tsx, TypeScript React, 0, 0, 0, 0, 0, 105, 0, 0, 0, 12, 11, 128
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\pages\LessonManagement.tsx, TypeScript React, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\pages\Login.tsx, TypeScript React, 0, 0, 0, 0, 0, 85, 0, 0, 0, 3, 7, 95
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\pages\Resources.tsx, TypeScript React, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\pages\SchedleLesson.tsx, TypeScript React, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 6, 57
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\pages\Services.tsx, TypeScript React, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 1, 73
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\pages\Settings.tsx, TypeScript React, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\pages\Wallet.tsx, TypeScript React, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
